actual_N,N,B,K,NN_loss,type,C,D,NN_loss_quantile,color,NBK_product,nqs_loss
7723008,8000000,768,51200,2.733182668685913,NBK,230.0,5033164800,2,"(0.9867, 0.535582, 0.38221)",303681031372800,2.8563126410137603
7723008,8000000,1536,25600,2.744407892227173,NBK,230.0,5033164800,2,"(0.9867, 0.535582, 0.38221)",303681031372800,2.861502920921237
7723008,8000000,3072,12800,2.7561049461364746,NBK,230.0,5033164800,2,"(0.9867, 0.535582, 0.38221)",303681031372800,2.8879245176121824
15877200,16000000,384,51200,2.623086929321289,NBK,240.0,2516582400,1,"(0.716387, 0.214982, 0.47529)",312158453760000,2.671176155261172
15877200,16000000,768,25600,2.6229968070983887,NBK,240.0,2516582400,1,"(0.716387, 0.214982, 0.47529)",312158453760000,2.6757484977582653
15877200,16000000,1536,12800,2.6403305530548096,NBK,240.0,2516582400,1,"(0.716387, 0.214982, 0.47529)",312158453760000,2.707839844055081
15877200,16000000,3072,6400,2.669450759887696,NBK,240.0,2516582400,1,"(0.716387, 0.214982, 0.47529)",312158453760000,2.787595063091091
29987232,32000000,192,51200,2.563207626342773,NBK,230.0,1258291200,0,"(0.316654, 0.07169, 0.48538)",294786485452800,2.534800535963729
29987232,32000000,384,25600,2.567275047302246,NBK,230.0,1258291200,0,"(0.316654, 0.07169, 0.48538)",294786485452800,2.534650530871083
29987232,32000000,768,12800,2.5800487995147705,NBK,230.0,1258291200,0,"(0.316654, 0.07169, 0.48538)",294786485452800,2.571580952887783
29987232,32000000,1536,6400,2.599734306335449,NBK,230.0,1258291200,1,"(0.716387, 0.214982, 0.47529)",294786485452800,2.663612932608496
29987232,32000000,3072,3200,2.6600828170776367,NBK,230.0,1258291200,1,"(0.716387, 0.214982, 0.47529)",294786485452800,2.824662001554503
63790848,64000000,96,51200,2.551641702651977,NBK,240.0,629145600,0,"(0.316654, 0.07169, 0.48538)",313544776089600,2.4240622013778923
63790848,64000000,192,25600,2.5418701171875,NBK,240.0,629145600,0,"(0.316654, 0.07169, 0.48538)",313544776089600,2.4069349564328304
63790848,64000000,384,12800,2.543448209762573,NBK,240.0,629145600,0,"(0.316654, 0.07169, 0.48538)",313544776089600,2.446743481076917
63790848,64000000,768,6400,2.5635502338409424,NBK,240.0,629145600,0,"(0.316654, 0.07169, 0.48538)",313544776089600,2.5539709848276857
63790848,64000000,1536,3200,2.6087183952331543,NBK,240.0,629145600,1,"(0.716387, 0.214982, 0.47529)",313544776089600,2.735628314558517
63790848,64000000,3072,1600,2.7212584018707275,NBK,240.0,629145600,1,"(0.716387, 0.214982, 0.47529)",313544776089600,2.992378818096137
121123072,128000000,48,51200,2.7338509559631348,NBK,230.0,314572800,2,"(0.9867, 0.535582, 0.38221)",297672061747200,2.4464290835316067
121123072,128000000,96,25600,2.624451160430908,NBK,230.0,314572800,1,"(0.716387, 0.214982, 0.47529)",297672061747200,2.3772344577267015
121123072,128000000,192,12800,2.593287706375122,NBK,230.0,314572800,0,"(0.316654, 0.07169, 0.48538)",297672061747200,2.4010832640214685
121123072,128000000,384,6400,2.600717782974243,NBK,230.0,314572800,1,"(0.716387, 0.214982, 0.47529)",297672061747200,2.509848750943993
121123072,128000000,768,3200,2.643631935119629,NBK,230.0,314572800,1,"(0.716387, 0.214982, 0.47529)",297672061747200,2.6992621099598484
121123072,128000000,1536,1600,2.728762626647949,NBK,230.0,314572800,1,"(0.716387, 0.214982, 0.47529)",297672061747200,2.9650523546913483
252798416,256000000,24,51200,3.483883857727051,NBK,240.0,157286400,2,"(0.9867, 0.535582, 0.38221)",310638693580800,2.7446761491506564
252798416,256000000,48,25600,3.2656121253967285,NBK,240.0,157286400,2,"(0.9867, 0.535582, 0.38221)",310638693580800,2.5184746463596337
252798416,256000000,96,12800,2.905355453491211,NBK,240.0,157286400,2,"(0.9867, 0.535582, 0.38221)",310638693580800,2.4664339763018406
252798416,256000000,192,6400,2.747541904449463,NBK,240.0,157286400,2,"(0.9867, 0.535582, 0.38221)",310638693580800,2.5373439181319966
252798416,256000000,384,3200,2.7557592391967773,NBK,240.0,157286400,2,"(0.9867, 0.535582, 0.38221)",310638693580800,2.707525770999916
252798416,256000000,768,1600,2.840871572494507,NBK,240.0,157286400,2,"(0.9867, 0.535582, 0.38221)",310638693580800,2.964845916502755
519186432,512000000,24,25600,3.700432300567627,NBK,240.0,78643200,2,"(0.9867, 0.535582, 0.38221)",318988143820800,3.092084063169829
519186432,512000000,48,12800,3.4795186519622803,NBK,240.0,78643200,2,"(0.9867, 0.535582, 0.38221)",318988143820800,2.7853152580528944
519186432,512000000,96,6400,3.1998720169067383,NBK,240.0,78643200,2,"(0.9867, 0.535582, 0.38221)",318988143820800,2.706987568807775
519186432,512000000,192,3200,3.1380257606506348,NBK,240.0,78643200,2,"(0.9867, 0.535582, 0.38221)",318988143820800,2.7930438698311235
519186432,512000000,384,1600,3.130809783935547,NBK,240.0,78643200,2,"(0.9867, 0.535582, 0.38221)",318988143820800,3.006318069566505
63790848,64000000,136,35872,2.545034170150757,NBK,240.0,624459776,0,"(0.316654, 0.07169, 0.48538)",311209520726016,2.4092344794783545
63790848,64000000,272,17936,2.542610645294189,NBK,240.0,624459776,0,"(0.316654, 0.07169, 0.48538)",311209520726016,2.4201932637293004
63790848,64000000,544,8968,2.555335521697998,NBK,240.0,624459776,0,"(0.316654, 0.07169, 0.48538)",311209520726016,2.4917964299946416
89396000,90509667,68,51200,2.5687270164489746,NBK,240.0,445644800,0,"(0.316654, 0.07169, 0.48538)",311241113600000,2.412766660733168
89396000,90509667,96,35872,2.563238859176636,NBK,240.0,440795136,0,"(0.316654, 0.07169, 0.48538)",307854077952000,2.3864008167720723
89396000,90509667,136,25600,2.569384813308716,NBK,240.0,445644800,0,"(0.316654, 0.07169, 0.48538)",311241113600000,2.3763595364710195
89396000,90509667,192,17936,2.566732883453369,NBK,240.0,440795136,0,"(0.316654, 0.07169, 0.48538)",307854077952000,2.3867048298117375
89396000,90509667,272,12800,2.556769132614136,NBK,240.0,445644800,0,"(0.316654, 0.07169, 0.48538)",311241113600000,2.4121318244751038
89396000,90509667,384,8968,2.565060377120972,NBK,240.0,440795136,0,"(0.316654, 0.07169, 0.48538)",307854077952000,2.4583276153419824
89396000,90509667,544,6400,2.571286201477051,NBK,240.0,445644800,0,"(0.316654, 0.07169, 0.48538)",311241113600000,2.52306479856112
121123072,128000000,68,35872,2.652052879333496,NBK,230.0,312229888,1,"(0.716387, 0.214982, 0.47529)",295455025037312,2.400048681236666
121123072,128000000,136,17936,2.5996453762054443,NBK,230.0,312229888,1,"(0.716387, 0.214982, 0.47529)",295455025037312,2.3799236165782034
121123072,128000000,272,8968,2.59396767616272,NBK,230.0,312229888,1,"(0.716387, 0.214982, 0.47529)",295455025037312,2.4448182913138767
182493184,181019335,48,35872,3.053797006607056,NBK,240.0,220397568,2,"(0.9867, 0.535582, 0.38221)",314226983829504,2.4595325107586916
182493184,181019335,68,25600,2.9263386726379395,NBK,240.0,222822400,2,"(0.9867, 0.535582, 0.38221)",317684134707200,2.4111032067678106
182493184,181019335,96,17936,2.7349400520324707,NBK,240.0,220397568,2,"(0.9867, 0.535582, 0.38221)",314226983829504,2.3993235452205215
182493184,181019335,136,12800,2.677859306335449,NBK,240.0,222822400,1,"(0.716387, 0.214982, 0.47529)",317684134707200,2.409313524620912
182493184,181019335,192,8968,2.659938097000122,NBK,240.0,220397568,1,"(0.716387, 0.214982, 0.47529)",314226983829504,2.446400932963475
182493184,181019335,272,6400,2.6481900215148926,NBK,240.0,222822400,1,"(0.716387, 0.214982, 0.47529)",317684134707200,2.5079419760671886
